alignment_id,section_id,alignment_type,confidence,order,chinese_ref,chinese_text,translation_ref,translation_text
lunyu__book-04-liren__011__zhwikisource-20260529__legge-cc-v1-1893,book-04-liren,exact_or_near_exact,0.99,11,論語 4.11,子曰：「君子懷德，小人懷土；君子懷刑，小人懷惠。」,Analects XI.11,"The Master said, ""The superior man thinks of virtue; the small man thinks of comfort. The superior man thinks of the sanctions of law; the small man thinks of favours which he may receive."""
lunyu__book-04-liren__012__zhwikisource-20260529__legge-cc-v1-1893,book-04-liren,exact_or_near_exact,0.99,12,論語 4.12,子曰：「放於利而行，多怨。」,Analects XII.12,"The Master said: ""He who acts with a constant view to his own advantage will be much murmured against."""
lunyu__book-04-liren__013__zhwikisource-20260529__legge-cc-v1-1893,book-04-liren,exact_or_near_exact,0.99,13,論語 4.13,子曰：「能以禮讓爲國乎，何有？不能以禮讓爲國，如禮何？」,Analects XIII.13,"The Master said, ""If a prince is able to govern his kingdom with the complaisance proper to the rules of propriety, what difficulty will he have? If he cannot govern it with that complaisance, what has he to do with the rules of propriety?"""
lunyu__book-04-liren__014__zhwikisource-20260529__legge-cc-v1-1893,book-04-liren,exact_or_near_exact,0.99,14,論語 4.14,子曰：「不患無位，患所以立。不患莫己知，未爲可知也。」,Analects XIV.14,"The Master said, ""A man should say, I am not concerned that I have no place, I am concerned how I may fit myself for one. I am not concerned that I am not known, I seek to be worthy to be known."""
lunyu__book-04-liren__015__zhwikisource-20260529__legge-cc-v1-1893,book-04-liren,exact_or_near_exact,0.99,15,論語 4.15,子曰：「參乎！吾道一以貫之。」曾子曰：「唯。」子出，門人問曰：「何謂也？」曾子曰：「夫子之道，忠恕而已矣！」,Analects XV.15,"The Master said, ""Shan, my doctrine is that of an all-pervading unity."" The disciple Tsang replied, ""Yes."" The Master went out, and the other disciples asked, saying, ""What do his words mean?"" Tsang said, ""The doctrine of our master is to be true to the principles of our nature and the benevolent exercise of them to others,—this and nothing more."""
lunyu__book-04-liren__016__zhwikisource-20260529__legge-cc-v1-1893,book-04-liren,exact_or_near_exact,0.99,16,論語 4.16,子曰：「君子喻於義，小人喻於利。」,Analects XVI.16,"The Master said, ""The mind of the superior man is conversant with righteousness; the mind of the mean man is conversant with gain."""
lunyu__book-04-liren__017__zhwikisource-20260529__legge-cc-v1-1893,book-04-liren,exact_or_near_exact,0.99,17,論語 4.17,子曰：「見賢思齊焉，見不賢而內自省也。」,Analects XVII.17,"The Master said, ""When we see men of worth, we should think of equalling them; when we see men of a contrary character, we should turn inwards and examine ourselves."""
lunyu__book-04-liren__018__zhwikisource-20260529__legge-cc-v1-1893,book-04-liren,exact_or_near_exact,0.99,18,論語 4.18,子曰：「事父母幾諫；見志不從，又敬而不違，勞而不怨。」,Analects XVIII.18,"The Master said, ""In serving his parents, a son may remonstrate with them, but gently; when he sees that they do not incline to follow his advice, he shows an increased degree of reverence, but does not abandon his purpose; and should they punish him, he does not allow himself to murmur."""
lunyu__book-04-liren__019__zhwikisource-20260529__legge-cc-v1-1893,book-04-liren,exact_or_near_exact,0.99,19,論語 4.19,子曰：「父母在，不遠遊；遊必有方。」,Analects XIX.19,"The Master said, ""While his parents are alive, the son may not go abroad to a distance. If he does go abroad, he must have a fixed place to which he goes."""
lunyu__book-04-liren__020__zhwikisource-20260529__legge-cc-v1-1893,book-04-liren,exact_or_near_exact,0.99,20,論語 4.20,子曰：「三年無改於父之道，可謂孝矣。」,Analects XX.20,"The Master said, ""If the son for three years does not alter from the way of his father, he may be called filial."""
lunyu__book-04-liren__021__zhwikisource-20260529__legge-cc-v1-1893,book-04-liren,exact_or_near_exact,0.99,21,論語 4.21,子曰：「父母之年，不可不知也。一則以喜，一則以懼。」,Analects XXI.21,"The Master said, ""The years of parents may by no means not be kept in the memory, as an occasion at once for joy and for fear."""
lunyu__book-04-liren__022__zhwikisource-20260529__legge-cc-v1-1893,book-04-liren,exact_or_near_exact,0.99,22,論語 4.22,子曰：「古者言之不出，恥躬之不逮也。」,Analects XXII.22,"The Master said, ""The reason why the ancients did not readily give utterance to their words, was that they feared lest their actions should not come up to them."""
lunyu__book-04-liren__023__zhwikisource-20260529__legge-cc-v1-1893,book-04-liren,exact_or_near_exact,0.99,23,論語 4.23,子曰：「以約失之者，鮮矣。」,Analects XXIII.23,"The Master said, ""The cautious seldom err."""
lunyu__book-04-liren__024__zhwikisource-20260529__legge-cc-v1-1893,book-04-liren,exact_or_near_exact,0.99,24,論語 4.24,子曰：「君子欲訥於言而敏於行。」,Analects XXIV.24,"The Master said, ""The superior man wishes to be slow in his speech and earnest in his conduct."""
lunyu__book-04-liren__025__zhwikisource-20260529__legge-cc-v1-1893,book-04-liren,exact_or_near_exact,0.99,25,論語 4.25,子曰：「德不孤，必有鄰。」,Analects XXV.25,"The Master said, ""Virtue is not left to stand alone. He who practises it will have neighbors."""
lunyu__book-04-liren__026__zhwikisource-20260529__legge-cc-v1-1893,book-04-liren,exact_or_near_exact,0.99,26,論語 4.26,子游曰：「事君數，斯辱矣。朋友數，斯疏矣。」===校勘記===,Analects XXVI.26,"Tsze-yu said, ""In serving a prince, frequent remonstrances lead to disgrace. Between friends, frequent reproofs make the friendship distant."""
