alignment_id,section_id,alignment_type,confidence,order,chinese_ref,chinese_text,translation_ref,translation_text
lunyu__book-05-gongyechang__013__zhwikisource-20260529__legge-cc-v1-1893,book-05-gongyechang,exact_or_near_exact,0.99,13,論語 5.13,子貢曰：「夫子之文章，可得而聞也；夫子之言性與天道，不可得而聞也。」,Analects XII.13,"Tsze-kung said, ""The Master's personal displays of his principles and ordinary descriptions of them may be heard. His discourses about man's nature, and the way of Heaven, cannot be heard."""
lunyu__book-05-gongyechang__014__zhwikisource-20260529__legge-cc-v1-1893,book-05-gongyechang,exact_or_near_exact,0.99,14,論語 5.14,子路有聞，未之能行，唯恐有聞。,Analects XIII.14,"When Tsze-lu heard anything, if he had not yet succeeded in carrying it into practice, he was only afraid lest he should hear something else."
lunyu__book-05-gongyechang__015__zhwikisource-20260529__legge-cc-v1-1893,book-05-gongyechang,exact_or_near_exact,0.99,15,論語 5.15,子貢問曰：「孔文子，何以謂之文也？」子曰：「敏而好學，不恥下問，是以謂之文也。」,Analects XIV.15,"Tsze-kung asked, saying, ""On what ground did Kung-wan get that title of Wan?"" The Master said, ""He was of an active nature and yet fond of learning, and he was not ashamed to ask and learn of his inferiors!—On these grounds he has been styled Wan."""
lunyu__book-05-gongyechang__016__zhwikisource-20260529__legge-cc-v1-1893,book-05-gongyechang,exact_or_near_exact,0.99,16,論語 5.16,子謂子產：「有君子之道四焉：其行己也恭，其事上也敬，其養民也惠，其使民也義。」,Analects XV.16,"The Master said of Tsze-ch'an that he had four of the characteristics of a superior man:—in his conduct of himself, he was humble; in serving his superiors, he was respectful; in nourishing the people, he was kind; in ordering the people, he was just."""
lunyu__book-05-gongyechang__017__zhwikisource-20260529__legge-cc-v1-1893,book-05-gongyechang,exact_or_near_exact,0.99,17,論語 5.17,子曰：「晏平仲善與人交，久而敬之。」,Analects XVI.17,"The Master said, ""Yen P'ing knew well how to maintain friendly intercourse. The acquaintance might be long, but he showed the same respect as at first."""
lunyu__book-05-gongyechang__018__zhwikisource-20260529__legge-cc-v1-1893,book-05-gongyechang,exact_or_near_exact,0.99,18,論語 5.18,子曰：「臧文仲居蔡，山節藻梲。何如其知也？」,Analects XVII.18,"The Master said, ""Tsang Wan kept a large tortoise in a house, on the capitals of the pillars of which he had hills made, and with representations of duckweed on the small pillars above the beams supporting the rafters.—Of what sort was his wisdom?"""
lunyu__book-05-gongyechang__019__zhwikisource-20260529__legge-cc-v1-1893,book-05-gongyechang,exact_or_near_exact,0.99,19,論語 5.19,子張問曰：「令尹子文，三仕爲令尹，無喜色；三已之，無慍色。舊令尹之政，必以吿新令尹。何如？」子曰：「忠矣。」曰：「仁矣乎？」曰：「未知，焉得仁？」「崔子弒齊君，陳文子有馬十乘，棄而違之，至於他邦，則曰：『猶吾大夫崔子也！』違之，之一邦，則又曰：『猶吾大夫崔子也！』違之。何如？」子曰：「淸矣。」曰：「仁矣乎？」曰：「未知，焉得仁？」,Analects XVIII.19,"Tsze-chang asked, saying, ""The minister Tsze-wan thrice took office, and manifested no joy in his countenance. Thrice he retired from office, and manifested no displeasure. He made it a point to inform the new minister of the way in which he had conducted the government;—what do you say of him?"" The Master replied. ""He was loyal."" ""Was he perfectly virtuous?"" ""I do not know. How can he be pronounced perfectly virtuous?"" Tsze-chang proceeded, ""When the officer Ch'ui killed the prince of Ch'i, Ch'an Wan, though he was the owner of forty horses, abandoned them and left the country. Coming to another State, he said, 'They are here like our great officer, Ch'ui,' and left it. He came to a second State, and with the same observation left it also;—what do you say of him?"" The Master replied, ""He was pure."" ""Was he perfectly virtuous?"" ""I do not know. How can he be pronounced perfectly virtuous?"""
lunyu__book-05-gongyechang__020__zhwikisource-20260529__legge-cc-v1-1893,book-05-gongyechang,exact_or_near_exact,0.99,20,論語 5.20,季文子三思而後行。子聞之曰：「再，斯可矣！」,Analects XIX.20,"Chi Wan thought thrice, and then acted. When the Master was informed of it, he said, ""Twice may do."""
lunyu__book-05-gongyechang__021__zhwikisource-20260529__legge-cc-v1-1893,book-05-gongyechang,exact_or_near_exact,0.99,21,論語 5.21,子曰：「甯武子，邦有道則知；邦無道則愚。其知可及也，其愚不可及也。」,Analects XX.21,"The Master said, ""When good order prevailed in his country, Ning Wu acted the part of a wise man. When his country was in disorder, he acted the part of a stupid man. Others may equal his wisdom, but they cannot equal his stupidity."""
lunyu__book-05-gongyechang__022__zhwikisource-20260529__legge-cc-v1-1893,book-05-gongyechang,exact_or_near_exact,0.99,22,論語 5.22,子在陳，曰：「歸與！歸與！吾黨之小子狂簡，斐然成章，不知所以裁之。」,Analects XXI.22,"When the Master was in Ch'an, he said, ""Let me return! Let me return! The little children of my school are ambitious and too hasty. They are accomplished and complete so far, but they do not know how to restrict and shape themselves."""
lunyu__book-05-gongyechang__023__zhwikisource-20260529__legge-cc-v1-1893,book-05-gongyechang,exact_or_near_exact,0.99,23,論語 5.23,子曰：「伯夷、叔齊，不念舊惡，怨是用希。」,Analects XXII.23,"The Master said, ""Po-i and Shu-ch'i did not keep the former wickednesses of men in mind, and hence the resentments directed towards them were few."""
lunyu__book-05-gongyechang__024__zhwikisource-20260529__legge-cc-v1-1893,book-05-gongyechang,exact_or_near_exact,0.99,24,論語 5.24,子曰：「孰謂微生高直？或乞醯焉，乞諸其鄰而與之。」,Analects XXIII.24,"The Master said, ""Who says of Wei-shang Kao that he is upright? One begged some vinegar of him, and he begged it of a neighbor and gave it to the man."""
lunyu__book-05-gongyechang__025__zhwikisource-20260529__legge-cc-v1-1893,book-05-gongyechang,exact_or_near_exact,0.99,25,論語 5.25,子曰：「巧言、令色、足恭，左丘明恥之，丘亦恥之。匿怨而友其人，左丘明恥之，丘亦恥之。」,Analects XXIV.25,"The Master said, ""Fine words, an insinuating appearance, and excessive respect;—Tso Ch'iu-ming was ashamed of them. I also am ashamed of them. To conceal resentment against a person, and appear friendly with him;—Tso Ch'iu-ming was ashamed of such conduct. I also am ashamed of it."""
lunyu__book-05-gongyechang__026__zhwikisource-20260529__legge-cc-v1-1893,book-05-gongyechang,exact_or_near_exact,0.99,26,論語 5.26,顏淵、季路侍。子曰：「盍各言爾志？」子路曰：「願車馬衣裘，與朋友共，敝之而無憾。」顏淵曰：「願無伐善，無施勞。」子路曰：「願聞子之志。」子曰：「老者安之，朋友信之，少者懷之。」,Analects XXV.26,"Yen Yuan and Chi Lu being by his side, the Master said to them, ""Come, let each of you tell his wishes."" Tsze-lu said, ""I should like, having chariots and horses, and light fur dresses, to share them with my friends, and though they should spoil them, I would not be displeased."" Yen Yuan said, ""I should like not to boast of my excellence, nor to make a display of my meritorious deeds."" Tsze-lu then said, ""I should like, sir, to hear your wishes."" The Master said, ""They are, in regard to the aged, to give them rest; in regard to friends, to show them sincerity; in regard to the young, to treat them tenderly."""
lunyu__book-05-gongyechang__027__zhwikisource-20260529__legge-cc-v1-1893,book-05-gongyechang,exact_or_near_exact,0.99,27,論語 5.27,子曰：「已矣乎！吾未見能見其過，而內自訟者也。」,Analects XXVI.27,"The Master said, ""It is all over! I have not yet seen one who could perceive his faults, and inwardly accuse himself."""
lunyu__book-05-gongyechang__028__zhwikisource-20260529__legge-cc-v1-1893,book-05-gongyechang,exact_or_near_exact,0.99,28,論語 5.28,子曰：「十室之邑，必有忠信如丘者焉，不如丘之好學也。」,Analects XXVII.28,"The Master said, ""In a hamlet of ten families, there may be found one honourable and sincere as I am, but not so fond of learning."""
