alignment_id,section_id,alignment_type,confidence,order,chinese_ref,chinese_text,translation_ref,translation_text
lunyu__book-03-bayi__011__zhwikisource-20260529__legge-cc-v1-1893,book-03-bayi,exact_or_near_exact,0.99,11,論語 3.11,或問「禘」之說。子曰：「不知也。知其說者之於天下也，其如示諸斯乎？」指其掌。,Analects XI.11,"Some one asked the meaning of the great sacrifice. The Master said, ""I do not know. He who knew its meaning would find it as easy to govern the kingdom as to look on this;—pointing to his palm."
lunyu__book-03-bayi__012__zhwikisource-20260529__legge-cc-v1-1893,book-03-bayi,exact_or_near_exact,0.99,12,論語 3.12,祭如在，祭神如神在。子曰：「吾不與祭，如不祭。」,Analects XII.12,"He sacrificed to the dead, as if they were present. He sacrificed to the spirits, as if the spirits were present. The Master said, ""I consider my not being present at the sacrifice, as if I did not sacrifice."""
lunyu__book-03-bayi__013__zhwikisource-20260529__legge-cc-v1-1893,book-03-bayi,exact_or_near_exact,0.99,13,論語 3.13,王孫賈問曰：「『與其媚於奧，寧媚於竈。』何謂也？」子曰：「不然。獲罪於天，無所禱也。」,Analects XIII.13,"Wang-sun Chia asked, saying, ""What is the meaning of the saying, 'It is better to pay court to the furnace than to the south-west corner?'"" The Master said, ""Not so. He who offends against Heaven has none to whom he can pray."""
lunyu__book-03-bayi__014__zhwikisource-20260529__legge-cc-v1-1893,book-03-bayi,exact_or_near_exact,0.99,14,論語 3.14,子曰：「周監於二代，郁郁乎文哉！吾從周。」,Analects XIV.14,"The Master said, ""Chau had the advantage of viewing the two past dynasties. How complete and elegant are its regulations! I follow Chau."""
lunyu__book-03-bayi__015__zhwikisource-20260529__legge-cc-v1-1893,book-03-bayi,exact_or_near_exact,0.99,15,論語 3.15,子入太廟，每事問。或曰：「孰謂鄹人之子知禮乎？入太廟，每事問。」子聞之曰：「是禮也！」,Analects XV.15,"The Master, when he entered the grand temple, asked about everything. Some one said, ""Who will say that the son of the man of Tsau knows the rules of propriety! He has entered the grand temple and asks about everything."" The Master heard the remark, and said, ""This is a rule of propriety."""
lunyu__book-03-bayi__016__zhwikisource-20260529__legge-cc-v1-1893,book-03-bayi,exact_or_near_exact,0.99,16,論語 3.16,子曰：「射不主皮，爲力不同科，古之道也。」,Analects XVI.16,"The Master said, ""In archery it is not going through the leather which is the principal thing;—because people's strength is not equal. This was the old way."""
lunyu__book-03-bayi__017__zhwikisource-20260529__legge-cc-v1-1893,book-03-bayi,exact_or_near_exact,0.99,17,論語 3.17,子貢欲去吿朔之餼羊。子曰：「賜也！爾愛其羊，我愛其禮。」,Analects XVII.17,"Tsze-kung wished to do away with the offering of a sheep connected with the inauguration of the first day of each month. The Master said, ""Ts'ze, you love the sheep; I love the ceremony."""
lunyu__book-03-bayi__018__zhwikisource-20260529__legge-cc-v1-1893,book-03-bayi,exact_or_near_exact,0.99,18,論語 3.18,子曰：「事君盡禮，人以爲諂也。」,Analects XVIII.18,"The Master said, ""The full observance of the rules of propriety in serving one's prince is accounted by people to be flattery."""
lunyu__book-03-bayi__019__zhwikisource-20260529__legge-cc-v1-1893,book-03-bayi,exact_or_near_exact,0.99,19,論語 3.19,定公問：「君使臣，臣事君，如之何？」孔子對曰：「君使臣以禮，臣事君以忠。」,Analects XIX.19,"The Duke Ting asked how a prince should employ his ministers, and how ministers should serve their prince. Confucius replied, ""A prince should employ his minister according to the rules of propriety; ministers should serve their prince with faithfulness."""
lunyu__book-03-bayi__020__zhwikisource-20260529__legge-cc-v1-1893,book-03-bayi,exact_or_near_exact,0.99,20,論語 3.20,子曰：「《關雎》，樂而不淫，哀而不傷。」,Analects XX.20,"The Master said, ""The Kwan Tsu is expressive of enjoyment without being licentious, and of grief without being hurtfully excessive."""
lunyu__book-03-bayi__021__zhwikisource-20260529__legge-cc-v1-1893,book-03-bayi,exact_or_near_exact,0.99,21,論語 3.21,哀公問社於宰我。宰我對曰：「夏后氏以松，殷人以柏，周人以栗。曰：『使民戰栗。』」子聞之，曰：「成事不說，遂事不諫，既往不咎。」,Analects XXI.21,"The Duke Ai asked Tsai Wo about the altars of the spirits of the land. Tsai Wo replied, ""The Hsia sovereign planted the pine tree about them; the men of the Yin planted the cypress; and the men of the Chau planted the chestnut tree, meaning thereby to cause the people to be in awe."" When the Master heard it, he said, ""Things that are done, it is needless to speak about; things that have had their course, it is needless to remonstrate about; things that are past, it is needless to blame."""
lunyu__book-03-bayi__022__zhwikisource-20260529__legge-cc-v1-1893,book-03-bayi,exact_or_near_exact,0.99,22,論語 3.22,子曰：「管仲之器小哉！」或曰：「管仲儉乎？」曰：「管氏有三歸，官事不攝，焉得儉？」「然則管仲知禮乎？」曰：「邦君樹塞門，管氏亦樹塞門。邦君爲兩君之好，有反坫，管氏亦有反坫。管氏而知禮，孰不知禮？」,Analects XXII.22,"The Master said, ""Small indeed was the capacity of Kwan Chung!"" Some one said, ""Was Kwan Chung parsimonious?"" ""Kwan,"" was the reply, ""had the San Kwei, and his officers performed no double duties; how can he be considered parsimonious?"" ""Then, did Kwan Chung know the rules of propriety?"" The Master said, ""The princes of States have a screen intercepting the view at their gates. Kwan had likewise a screen at his gate. The princes of States on any friendly meeting between two of them, had a stand on which to place their inverted cups. Kwan had also such a stand. If Kwan knew the rules of propriety, who does not know them?"""
lunyu__book-03-bayi__023__zhwikisource-20260529__legge-cc-v1-1893,book-03-bayi,exact_or_near_exact,0.99,23,論語 3.23,子語魯大師樂，曰：「樂其可知也。始作，翕如也。從之，純如也，皦如也，繹如也。以成。」,Analects XXIII.23,"The Master instructing the grand music-master of Lu said, ""How to play music may be known. At the commencement of the piece, all the parts should sound together. As it proceeds, they should be in harmony while severally distinct and flowing without break, and thus on to the conclusion."""
lunyu__book-03-bayi__024__zhwikisource-20260529__legge-cc-v1-1893,book-03-bayi,exact_or_near_exact,0.99,24,論語 3.24,儀封人請見，曰：「君子之至於斯也，吾未嘗不得見也。」從者見之。出曰：「二三子，何患於喪乎？天下之無道也久矣，天將以夫子爲木鐸。」,Analects XXIV.24,"The border warden at Yi requested to be introduced to the Master, saying, ""When men of superior virtue have come to this, I have never been denied the privilege of seeing them."" The followers of the sage introduced him, and when he came out from the interview, he said, ""My friends, why are you distressed by your master's loss of office? The kingdom has long been without the principles of truth and right; Heaven is going to use your master as a bell with its wooden tongue."""
lunyu__book-03-bayi__025__zhwikisource-20260529__legge-cc-v1-1893,book-03-bayi,exact_or_near_exact,0.99,25,論語 3.25,子謂韶：「盡美矣，又盡善也。」謂武：「盡美矣，未盡善也。」,Analects XXV.25,The Master said of the Shao that it was perfectly beautiful and also perfectly good. He said of the Wu that it was perfectly beautiful but not perfectly good.
lunyu__book-03-bayi__026__zhwikisource-20260529__legge-cc-v1-1893,book-03-bayi,exact_or_near_exact,0.99,26,論語 3.26,子曰：「居上不寬，爲禮不敬，臨喪不哀，吾何以觀之哉！」,Analects XXVI.26,"The Master said, ""High station filled without indulgent generosity; ceremonies performed without reverence; mourning conducted without sorrow;—wherewith should I contemplate such ways?"""
